"loop"=="WT_1" "WT_2" "WT_3" "TRT_1" "TRT_2" "TRT_3" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "log2FoldChange" "lfcSE" "pvalue" "padj"
1==56 64 65 64 57 61 60.2396383419485 -0.0240510403627766 0.188425305316934 0.859182818005311 0.999550476130121 -8.17796613709472e-05 0.0547310743687999 0.994180171881068 0.999999433852421
2==78 126 74 115 82 102 94.6537965322534 0.0427849467456648 0.193452991212666 0.756822067592236 0.999550476130121 -0.000157922486771996 0.0542779793803425 0.98808972084038 0.999999433852421
3==41 33 42 35 28 41 36.1258588234348 -0.0810421478287692 0.211537281503649 0.557953523549072 0.999550476130121 0.000629055081110103 0.0551704054432629 0.948648440455131 0.999999433852421
4==104 86 69 77 68 71 78.010795444413 -0.162580804043386 0.207211544996394 0.266106416580535 0.999550476130121 0.000573015190515379 0.054485918841342 0.964571183045756 0.999999433852421
5==50 46 56 46 38 51 47.1293657144366 -0.0964129653924293 0.205203574438118 0.491806260259004 0.999550476130121 0.000683302891573102 0.0549634274904883 0.949887113708179 0.999999433852421
6==72 64 92 79 88 79 77.7855046184512 0.0470820497568511 0.187368504395499 0.73166603797833 0.999550476130121 0.000710812451197142 0.0544833242059088 0.956489571650759 0.999999433852421
7==23 17 10 21 19 20 18.0386384772929 0.0795780832615604 0.234464623710136 0.544307231161806 0.999550476130121 0.00084656883987192 0.0555667645890877 0.90546058509592 0.999999433852421
8==85 55 48 84 59 56 63.5146389622723 0.0283532938443483 0.20007507057532 0.836860958494661 0.999550476130121 -0.000806594080982497 0.054713310814705 0.942926320572103 0.999999433852421
9==12 10 13 14 6 12 11.0032916307095 -0.0372897128474844 0.239410896643176 0.751078298384214 0.999550476130121 0.00117504427356198 0.0557413403924478 0.834820186254025 0.999999433852421
10==80 67 63 75 84 68 71.7020879895885 0.0487672298489162 0.187695225295138 0.722757896630127 0.999550476130121 0.000253376708572128 0.0545620140805493 0.985288837431503 0.999999433852421
11==7 3 5 4 4 4 4.43642825253561 -0.0451133294046689 0.258934182503953 0.626162983271404 0.999550476130121 0.00272880518888323 0.0559877487099956 0.450359669897299 0.999999433852421
13==75 106 93 109 69 85 88.1544481874016 -0.0422906248535893 0.190182254485719 0.756202941998994 0.999550476130121 -7.11026912162188e-05 0.0543486041880582 0.994455523046385 0.999999433852421
14==22 18 21 28 21 16 20.6818796625659 0.0244979784056165 0.220971114941167 0.852249285391567 0.999550476130121 0.000521118160892098 0.0554916932533788 0.946322782990959 0.999999433852421
15==93 107 81 81 97 90 90.1031244670113 -0.0509055744805771 0.182954594150853 0.707753996776217 0.999550476130121 0.000152923281851051 0.0543111661231691 0.992010652727128 0.999999433852421
16==94 123 138 113 104 99 110.189771538957 -0.110831979466312 0.189228297030072 0.427178991359644 0.999550476130121 3.78910131593651e-05 0.0540789139901483 0.999010239789242 0.999999433852421
17==8 6 14 14 7 6 9.03598440090886 -0.0153761375361582 0.243213037652345 0.888137761223012 0.999550476130121 -0.000455200698602473 0.0557815537188956 0.925924711971455 0.999999433852421
18==12 10 8 11 7 13 10.009066359354 0.00602573070065064 0.238753828156037 0.959791703328854 0.999550476130121 -0.000771191891602004 0.0557500080821587 0.884962505376131 0.999999433852421
20==12 17 15 9 13 12 12.8117207948047 -0.11467267877376 0.25454519179842 0.374834661279893 0.999550476130121 0.000527822043495382 0.0556808288546004 0.931474146701642 0.999999433852421
21==28 20 30 22 18 21 22.8411820952116 -0.151300648385317 0.247147901340908 0.291682897257137 0.999550476130121 -0.00148760804903395 0.055471909297602 0.848907575770376 0.999999433852421
22==7 5 5 6 5 7 5.74291343531652 0.00980554307317238 0.250036952228616 0.923421768674329 0.999550476130121 0.000510979986201026 0.0558526600783028 0.903866189524466 0.999999433852421
23==59 34 81 64 55 42 55.0323798615974 -0.0583005517193871 0.21077944397292 0.670179747176084 0.999550476130121 0.000274270910271073 0.0548562074995701 0.981538058429294 0.999999433852421
24==52 47 55 61 51 45 51.0506921279547 0.00293378754184995 0.193956988500945 0.984142757937304 0.999550476130121 -0.00187568904641224 0.054930361281577 0.863147084115707 0.999999433852421
26==87 91 90 64 48 72 74.2893959468043 -0.394632245801399 0.257207725897496 0.0273052750440086 0.557924202018623 -0.0010989889710145 0.0545694860339095 0.927818217505414 0.999999433852421
27==12 16 11 16 14 15 13.7768049908602 0.0541251315674045 0.234878125022339 0.667248995772584 0.999550476130121 -0.000967128116309939 0.0556602629504691 0.875811558552909 0.999999433852421
28==65 115 97 79 64 68 80.1715602432195 -0.244108881032241 0.236504166963428 0.123785579289223 0.999550476130121 0.000393929983496694 0.0544727053758068 0.97689971505396 0.999999433852421
29==146 132 119 120 143 121 128.190875282234 -0.0418312924329496 0.174857598650071 0.754350174906529 0.999550476130121 0.000178245783465562 0.0538824314279104 0.991559908261877 0.999999433852421
30==47 70 57 70 59 71 61.3425222631088 0.093614435459628 0.199285185534793 0.505332689852031 0.999550476130121 -0.000459864735319741 0.0547270863201839 0.967123975429131 0.999999433852421
31==54 60 68 56 51 68 58.6006461893127 -0.0404229391860097 0.192535080970981 0.766916864969127 0.999550476130121 -0.000578494466305869 0.0547657420785052 0.959225767889209 0.999999433852421
32==4 5 6 3 5 6 4.75992787035193 -0.0167848948086153 0.253799548520183 0.857409988274153 0.999550476130121 -0.000583989114634585 0.0558829377482589 0.873862744945404 0.999999433852421
33==47 67 41 47 47 56 50.0472835770454 -0.032870750570058 0.199005864181218 0.809284489419235 0.999550476130121 0.000153864749919256 0.054913169610906 0.990141987544095 0.999999433852421
34==41 32 36 28 49 38 36.7530142675828 0.0236468367321998 0.206381078240637 0.86212260289416 0.999550476130121 0.000412878312493658 0.0551579734716098 0.975315154859477 0.999999433852421
35==13 10 12 12 7 4 9.53945692295833 -0.154049709388053 0.286234507631033 0.224274608505809 0.999550476130121 0.00107746818729644 0.0557916151286686 0.831197326291327 0.999999433852421
36==45 59 35 36 50 36 42.8449366061277 -0.0964797763872602 0.213456029425001 0.490050736895305 0.999550476130121 0.000845270022007794 0.055056549515841 0.934844078813364 0.999999433852421
37==41 23 37 35 45 50 37.8767191669018 0.159375177443787 0.234498492103164 0.279959738315929 0.999550476130121 0.000108559875248667 0.0551455700797474 0.992438844564376 0.999999433852421
38==136 98 134 96 127 81 110.397144278169 -0.172581540578906 0.209134541437994 0.241454928685776 0.999550476130121 -0.000599276954470821 0.0540984304238668 0.964814523477135 0.999999433852421
39==21 29 29 32 24 24 26.0981028419456 -0.00134949474310899 0.21307320977758 0.990532298234009 0.99993894890947 0.000461062121759034 0.0553697039843338 0.960125538537551 0.999999433852421
40==23 14 21 18 25 26 20.8299003367976 0.081773370670182 0.229703038077131 0.542050348329323 0.999550476130121 3.92097829054619e-05 0.055490286057122 0.997366476543827 0.999999433852421
41==47 30 40 50 51 47 43.4605939306294 0.160190009184772 0.224631901712602 0.27885085580404 0.999550476130121 -0.000482813942512882 0.0550354260164031 0.960796247905117 0.999999433852421
42==104 81 97 97 82 105 92.8994996026495 -0.00676471333236764 0.181193439349865 0.958756273139737 0.999550476130121 0.000262603947511987 0.0542768905260582 0.985476339417648 0.999999433852421
43==11 12 14 17 19 12 13.9393630840628 0.106953583758164 0.24907999872198 0.412244549695278 0.999550476130121 -4.80489442451549e-05 0.0556479184280915 0.992017832281946 0.999999433852421
44==89 86 113 107 87 106 96.5055481367328 0.020741290721187 0.181519769280369 0.881384348455969 0.999550476130121 0.000419307609286804 0.054235160174821 0.976636225109216 0.999999433852421
45==101 82 75 90 79 94 85.5001097036918 0.00300671861819062 0.182637638494101 0.982950977889212 0.999550476130121 4.0617429961952e-06 0.0543705656666438 0.995457969699737 0.999999433852421
46==62 95 72 80 75 59 72.7226781153585 -0.061754568887008 0.19399682985512 0.653254834294179 0.999550476130121 -0.000456464510865894 0.0545578539866968 0.969298348367915 0.999999433852421
47==16 21 15 12 17 15 15.7614308293175 -0.0835720046519772 0.237781878470533 0.519409783823507 0.999550476130121 0.00130184832479907 0.0556256710100464 0.846977780251724 0.999999433852421
48==25 30 19 23 26 23 23.9590476505495 -0.0231033472443482 0.215893657954165 0.860249034369293 0.999550476130121 -0.00192593771773864 0.0554605606698217 0.809338159317552 0.999999433852421
49==71 82 92 59 77 87 76.8298604441401 -0.0854444982938822 0.193682436432432 0.538277243245563 0.999550476130121 -0.0010386963311486 0.0545081539500837 0.932902109611309 0.999999433852421
51==25 22 24 28 22 23 23.6352008367819 0.00696421793843472 0.214676051384468 0.959422492761559 0.999550476130121 -0.000309448775359952 0.0554184227813209 0.968233017619049 0.999999433852421
52==4 6 9 11 10 16 9.16735162457425 0.267797267506838 0.382308899742492 0.0773533805826894 0.999550476130121 -0.00223760888107198 0.055855591354311 0.642079161789566 0.999999433852421
53==72 91 72 79 61 83 75.1743915556176 -0.0521710897338359 0.189050387781804 0.702485849542915 0.999550476130121 0.000446180604393113 0.0545167158188118 0.972394137745964 0.999999433852421
54==22 25 15 21 16 23 20.0205041826461 -0.0237130666893416 0.221873831242044 0.854040144741857 0.999550476130121 -0.000693183162347022 0.0555103401479505 0.925409928417837 0.999999433852421
55==57 45 65 41 72 55 54.9826465258991 -0.006587558301018 0.198824938402915 0.960037556228559 0.999550476130121 0.000551725419850415 0.0548391463948799 0.963422359493166 0.999999433852421
56==111 74 87 91 69 50 79.2149034837923 -0.220408182781596 0.235977340668867 0.156875555906396 0.999550476130121 -0.00187444740512785 0.0545338184485485 0.880482362761247 0.999999433852421
57==108 121 91 94 83 91 96.5592354444507 -0.169304688278026 0.198977156112813 0.24321482525975 0.999550476130121 -0.000269197566610221 0.0542367298276415 0.982774500102979 0.999999433852421
58==57 46 61 51 42 49 50.2599199811165 -0.118141092271996 0.207778548545004 0.406371353159134 0.999550476130121 -0.000257424097849397 0.0549049057193416 0.981398136205259 0.999999433852421
59==27 30 40 26 27 24 28.5886861867947 -0.156841841209486 0.239740177379858 0.282645423870813 0.999550476130121 -0.000528263123667023 0.0553228128573426 0.949781358147005 0.999999433852421
60==46 33 37 33 39 27 35.3133696355057 -0.113737970485253 0.219935952423474 0.42080637713213 0.999550476130121 0.000763467684540323 0.0551903628661108 0.936787583010344 0.999999433852421
62==24 28 31 132 124 148 79.5140495742171 2.19512904583005 0.276200704355858 1.21431533974226e-16 1.03899856256697e-14 1.32758839192881 0.278936828027053 9.23364504406975e-08 7.43580003843029e-06
63==85 74 69 83 42 78 70.7738518342491 -0.0934826986846069 0.205485186505854 0.503996414980109 0.999550476130121 -0.00118533003028759 0.0546178189722373 0.92001900994972 0.999999433852421
64==3 8 6 6 7 5 5.74216232925006 0.00975322217061779 0.250448683199517 0.923692065156747 0.999550476130121 -0.000757570073915008 0.0558626379399151 0.851829025476728 0.999999433852421
65==35 56 48 55 60 41 48.3954127150894 0.0683116572331411 0.204692497311383 0.622514338012319 0.999550476130121 0.00132811515450653 0.0549663797206199 0.906394945267617 0.999999433852421
66==21 15 17 17 18 20 17.7230070150579 0.0104223339944927 0.223263271233725 0.93680525583229 0.999550476130121 0.000879024253201667 0.0555627233012846 0.902303531524054 0.999999433852421
67==35 32 35 29 31 23 30.3913895117451 -0.144378996359745 0.231601354201493 0.318378513809544 0.999550476130121 -0.000133666076573472 0.0552794945339001 0.986597550893687 0.999999433852421
68==18 28 27 29 27 22 24.7784627400769 0.0281682816893617 0.21589590462883 0.83338714647798 0.999550476130121 -1.98464968923434e-05 0.055397538614807 0.996545896939271 0.999999433852421
69==20 21 22 18 9 15 17.2624144435397 -0.236095844896556 0.30565435285505 0.130576641533082 0.999550476130121 -0.000686740312126934 0.0555911283514778 0.917884237420106 0.999999433852421
70==85 86 112 104 130 97 100.724603619639 0.116814869696593 0.193040458291327 0.407656858800555 0.999550476130121 -0.000615406810464476 0.0541946880332297 0.96231999002301 0.999999433852421
72==58 62 53 40 55 49 52.0553096004994 -0.15296278122241 0.214451444945799 0.295298989511368 0.999550476130121 0.000265215673133246 0.054876403245664 0.981784697675184 0.999999433852421
73==76 93 100 82 66 81 81.7895868804245 -0.14694910462697 0.200523620669169 0.306618716298797 0.999550476130121 0.00031185282033063 0.0544275960724933 0.981960338154649 0.999999433852421
74==5 4 4 6 4 2 4.10628497930104 -0.0165351549785623 0.256200223538134 0.85120295084766 0.999550476130121 -0.000700043544392654 0.0559037828770602 0.837941899057315 0.999999433852421
75==80 88 96 76 65 90 81.2827461397199 -0.122011891739694 0.195765297530467 0.387651115016892 0.999550476130121 0.00151382065413292 0.0544591529685252 0.907169755279326 0.999999433852421
76==17 14 10 14 17 16 14.4325762322139 0.0520975688861446 0.233637574734782 0.679929689834917 0.999550476130121 0.000325997594818671 0.0556336875977348 0.961114343791182 0.999999433852421
77==34 45 34 32 37 49 37.893241436226 0.0178386324291344 0.204390973184541 0.896685532461234 0.999550476130121 0.000776648161453292 0.0551378052855329 0.927816588654978 0.999999433852421
78==43 49 31 60 36 48 43.7926327748924 0.0944633837589577 0.213330356298838 0.500736154259437 0.999550476130121 -0.000330560902750491 0.0550342436400224 0.972500162802494 0.999999433852421
79==13 19 14 14 17 23 16.3956059547528 0.0663721789460362 0.233334835189972 0.607595271376852 0.999550476130121 0.000137944907559912 0.0555903723512818 0.987189704892946 0.999999433852421
80==38 34 47 42 47 45 41.5093415213446 0.070653235997922 0.204486609652288 0.6108948283254 0.999550476130121 0.000292208672080493 0.0550600352414742 0.969809635373181 0.999999433852421
81==94 53 82 109 83 86 83.1769997389339 0.137684460766501 0.208874516026923 0.341394697326349 0.999550476130121 0.000224075793604865 0.0544261296015551 0.989257545747606 0.999999433852421
82==26 27 24 24 27 29 25.7600541678752 0.0131871093808685 0.21199545041933 0.922681465491357 0.999550476130121 0.000144334453259471 0.0553695407552385 0.986019562818365 0.999999433852421
84==55 45 58 45 40 61 49.9101582555322 -0.0660909791250124 0.201660913846466 0.631464442590486 0.999550476130121 -0.00135356123055888 0.0549362457601745 0.898751241019968 0.999999433852421
85==10 8 8 9 8 10 8.69717027747297 0.00713586402000699 0.241351643276716 0.950818492659073 0.999550476130121 0.000493275826318338 0.055774760525894 0.924425099463098 0.999999433852421
87==20 18 13 17 19 14 16.5767463485023 -0.0158317679503859 0.225890843038455 0.899265044921593 0.999550476130121 0.000818993453578257 0.0555897798250232 0.906082917657463 0.999999433852421
