==loop WT_1 WT_2 WT_3 TRT_1 TRT_2 TRT_3 baseMean log2FoldChange lfcSE pvalue padj
1==1 56 64 65 64 57 61 60.2396383419485 -0.0240510403627766 0.188425305316934 0.859182818005311 0.999550476130121
2==2 78 126 74 115 82 102 94.6537965322534 0.0427849467456648 0.193452991212666 0.756822067592236 0.999550476130121
3==3 41 33 42 35 28 41 36.1258588234348 -0.0810421478287692 0.211537281503649 0.557953523549072 0.999550476130121
4==4 104 86 69 77 68 71 78.010795444413 -0.162580804043386 0.207211544996394 0.266106416580535 0.999550476130121
5==5 50 46 56 46 38 51 47.1293657144366 -0.0964129653924293 0.205203574438118 0.491806260259004 0.999550476130121
6==6 72 64 92 79 88 79 77.7855046184512 0.0470820497568511 0.187368504395499 0.73166603797833 0.999550476130121
7==7 23 17 10 21 19 20 18.0386384772929 0.0795780832615604 0.234464623710136 0.544307231161806 0.999550476130121
8==8 85 55 48 84 59 56 63.5146389622723 0.0283532938443483 0.20007507057532 0.836860958494661 0.999550476130121
9==9 12 10 13 14 6 12 11.0032916307095 -0.0372897128474844 0.239410896643176 0.751078298384214 0.999550476130121
10==10 80 67 63 75 84 68 71.7020879895885 0.0487672298489162 0.187695225295138 0.722757896630127 0.999550476130121
11==11 7 3 5 4 4 4 4.43642825253561 -0.0451133294046689 0.258934182503953 0.626162983271404 0.999550476130121
13==13 75 106 93 109 69 85 88.1544481874016 -0.0422906248535893 0.190182254485719 0.756202941998994 0.999550476130121
14==14 22 18 21 28 21 16 20.6818796625659 0.0244979784056165 0.220971114941167 0.852249285391567 0.999550476130121
15==15 93 107 81 81 97 90 90.1031244670113 -0.0509055744805771 0.182954594150853 0.707753996776217 0.999550476130121
16==16 94 123 138 113 104 99 110.189771538957 -0.110831979466312 0.189228297030072 0.427178991359644 0.999550476130121
17==17 8 6 14 14 7 6 9.03598440090886 -0.0153761375361582 0.243213037652345 0.888137761223012 0.999550476130121
18==18 12 10 8 11 7 13 10.009066359354 0.00602573070065064 0.238753828156037 0.959791703328854 0.999550476130121
20==20 12 17 15 9 13 12 12.8117207948047 -0.11467267877376 0.25454519179842 0.374834661279893 0.999550476130121
21==21 28 20 30 22 18 21 22.8411820952116 -0.151300648385317 0.247147901340908 0.291682897257137 0.999550476130121
22==22 7 5 5 6 5 7 5.74291343531652 0.00980554307317238 0.250036952228616 0.923421768674329 0.999550476130121
23==23 59 34 81 64 55 42 55.0323798615974 -0.0583005517193871 0.21077944397292 0.670179747176084 0.999550476130121
24==24 52 47 55 61 51 45 51.0506921279547 0.00293378754184995 0.193956988500945 0.984142757937304 0.999550476130121
26==26 87 91 90 64 48 72 74.2893959468043 -0.394632245801399 0.257207725897496 0.0273052750440086 0.557924202018623
27==27 12 16 11 16 14 15 13.7768049908602 0.0541251315674045 0.234878125022339 0.667248995772584 0.999550476130121
28==28 65 115 97 79 64 68 80.1715602432195 -0.244108881032241 0.236504166963428 0.123785579289223 0.999550476130121
29==29 146 132 119 120 143 121 128.190875282234 -0.0418312924329496 0.174857598650071 0.754350174906529 0.999550476130121
30==30 47 70 57 70 59 71 61.3425222631088 0.093614435459628 0.199285185534793 0.505332689852031 0.999550476130121
31==31 54 60 68 56 51 68 58.6006461893127 -0.0404229391860097 0.192535080970981 0.766916864969127 0.999550476130121
32==32 4 5 6 3 5 6 4.75992787035193 -0.0167848948086153 0.253799548520183 0.857409988274153 0.999550476130121
33==33 47 67 41 47 47 56 50.0472835770454 -0.032870750570058 0.199005864181218 0.809284489419235 0.999550476130121
34==34 41 32 36 28 49 38 36.7530142675828 0.0236468367321998 0.206381078240637 0.86212260289416 0.999550476130121
35==35 13 10 12 12 7 4 9.53945692295833 -0.154049709388053 0.286234507631033 0.224274608505809 0.999550476130121
36==36 45 59 35 36 50 36 42.8449366061277 -0.0964797763872602 0.213456029425001 0.490050736895305 0.999550476130121
37==37 41 23 37 35 45 50 37.8767191669018 0.159375177443787 0.234498492103164 0.279959738315929 0.999550476130121
38==38 136 98 134 96 127 81 110.397144278169 -0.172581540578906 0.209134541437994 0.241454928685776 0.999550476130121
39==39 21 29 29 32 24 24 26.0981028419456 -0.00134949474310899 0.21307320977758 0.990532298234009 0.99993894890947
40==40 23 14 21 18 25 26 20.8299003367976 0.081773370670182 0.229703038077131 0.542050348329323 0.999550476130121
41==41 47 30 40 50 51 47 43.4605939306294 0.160190009184772 0.224631901712602 0.27885085580404 0.999550476130121
42==42 104 81 97 97 82 105 92.8994996026495 -0.00676471333236764 0.181193439349865 0.958756273139737 0.999550476130121
43==43 11 12 14 17 19 12 13.9393630840628 0.106953583758164 0.24907999872198 0.412244549695278 0.999550476130121
44==44 89 86 113 107 87 106 96.5055481367328 0.020741290721187 0.181519769280369 0.881384348455969 0.999550476130121
45==45 101 82 75 90 79 94 85.5001097036918 0.00300671861819062 0.182637638494101 0.982950977889212 0.999550476130121
46==46 62 95 72 80 75 59 72.7226781153585 -0.061754568887008 0.19399682985512 0.653254834294179 0.999550476130121
47==47 16 21 15 12 17 15 15.7614308293175 -0.0835720046519772 0.237781878470533 0.519409783823507 0.999550476130121
48==48 25 30 19 23 26 23 23.9590476505495 -0.0231033472443482 0.215893657954165 0.860249034369293 0.999550476130121
49==49 71 82 92 59 77 87 76.8298604441401 -0.0854444982938822 0.193682436432432 0.538277243245563 0.999550476130121
51==51 25 22 24 28 22 23 23.6352008367819 0.00696421793843472 0.214676051384468 0.959422492761559 0.999550476130121
52==52 4 6 9 11 10 16 9.16735162457425 0.267797267506838 0.382308899742492 0.0773533805826894 0.999550476130121
53==53 72 91 72 79 61 83 75.1743915556176 -0.0521710897338359 0.189050387781804 0.702485849542915 0.999550476130121
54==54 22 25 15 21 16 23 20.0205041826461 -0.0237130666893416 0.221873831242044 0.854040144741857 0.999550476130121
55==55 57 45 65 41 72 55 54.9826465258991 -0.006587558301018 0.198824938402915 0.960037556228559 0.999550476130121
56==56 111 74 87 91 69 50 79.2149034837923 -0.220408182781596 0.235977340668867 0.156875555906396 0.999550476130121
57==57 108 121 91 94 83 91 96.5592354444507 -0.169304688278026 0.198977156112813 0.24321482525975 0.999550476130121
58==58 57 46 61 51 42 49 50.2599199811165 -0.118141092271996 0.207778548545004 0.406371353159134 0.999550476130121
59==59 27 30 40 26 27 24 28.5886861867947 -0.156841841209486 0.239740177379858 0.282645423870813 0.999550476130121
60==60 46 33 37 33 39 27 35.3133696355057 -0.113737970485253 0.219935952423474 0.42080637713213 0.999550476130121
